test no;Naive;SubString;SkipList;KMP
text1;407;308;268;83
text1;97;92;162;100
text1;140;168;86;88
text1;198;107;76;54
text1;144;144;82;81
text1;137;146;86;88
text1;118;139;121;80
text1;142;117;39;52
text1;78;144;71;83
text1;121;138;79;93
text1;105;69;59;50
text1;118;125;108;88
text1;125;80;80;79
text1;119;78;70;82
text1;118;77;69;144
text1;79;84;70;236
text1;118;68;67;85
text1;106;61;64;79
text1;102;63;62;73
text1;107;69;64;83
text1;106;62;57;74
text1;102;63;169;121
text1;106;59;65;81
text1;112;68;41;60
text1;179;60;59;73
text1;93;56;55;72
text1;127;56;57;69
text1;92;54;56;70
text1;94;71;56;84
text1;127;136;73;91
text2;334;425;460;424
text2;526;491;145;229
text2;336;102;73;139
text2;176;144;110;207
text2;180;124;78;132
text2;157;98;69;127
text2;155;104;70;121
text2;149;96;68;75
text2;216;91;75;136
text2;170;130;74;84
text2;172;127;66;97
text2;189;95;71;79
text2;148;92;67;73
text2;155;108;68;82
text2;452;130;101;92
text2;375;163;129;82
text2;152;1210;76;80
text2;153;92;68;74
text2;212;90;71;79
text2;210;97;71;81
text2;180;91;155;94
text2;225;159;123;136
text2;270;93;128;134
text2;262;78;124;136
text2;270;78;152;135
text2;257;75;129;99
text2;154;45;101;119
text2;246;70;66;106
text2;145;40;64;69
text2;145;40;65;69
text3;1986;497;781;874
text3;1914;488;712;858
text3;2845;2410;904;1344
text3;1937;842;777;1656
text3;1918;480;719;789
text3;1290;476;898;1135
text3;1947;906;804;700
text3;1263;476;3487;1261
text3;4725;655;526;888
text3;1713;554;698;702
text3;1639;551;555;283
text3;1628;558;386;175
text3;885;278;394;173
text3;894;285;289;170
text3;643;463;607;237
text3;922;498;485;343
text3;2048;882;926;427
text3;1061;548;487;172
text3;609;325;243;182
text3;585;285;388;173
text3;582;288;298;169
text3;705;283;339;199
text3;595;293;457;171
text3;862;798;520;271
text3;1109;596;995;308
text3;1638;1029;765;287
text3;1487;1008;2573;331
text3;1838;757;895;330
text3;1312;935;587;179
text3;1160;618;666;283
text4;2988;2137;2267;860
text4;2592;1455;1103;564
text4;7137;2998;5509;1110
text4;4242;2700;1923;732
text4;2068;1524;2596;1271
text4;2503;2036;1337;729
text4;1507;1347;2895;974
text4;3217;2180;1511;725
text4;2180;2334;1408;905
text4;3003;1870;920;575
text4;3685;3632;1242;723
text4;1393;1326;1166;496
text4;2066;1398;869;424
text4;1578;1328;1294;821
text4;2774;2721;2382;590
text4;2065;1834;883;418
text4;1359;1983;3718;595
text4;1931;1705;1335;730
text4;3219;5216;2184;674
text4;1472;1475;1036;424
text4;1499;1305;892;416
text4;1300;1260;829;420
text4;1341;1658;2030;661
text4;2127;3426;1540;449
text4;1421;2515;2413;523
text4;1572;1482;851;437
text4;1314;1349;3223;622
text4;1712;1562;861;420
text4;1392;1258;564;424
text4;3442;3412;1782;593
text5;473;454;144;150
text5;515;449;167;152
text5;464;500;138;148
text5;467;432;139;149
text5;446;434;141;151
text5;460;465;148;147
text5;470;447;138;147
text5;486;610;151;154
text5;493;446;149;149
text5;491;443;140;150
text5;469;444;142;149
text5;456;443;150;148
text5;451;446;144;148
text5;464;439;139;145
text5;455;432;177;167
text5;485;592;741;341
text5;560;579;140;179
text5;753;568;136;143
text5;475;472;153;143
text5;440;534;138;168
text5;479;455;144;145
text5;437;466;156;157
text5;477;2074;96;146
text5;296;299;92;142
text5;291;338;89;142
text5;405;301;89;141
text5;304;274;89;142
text5;351;399;109;214
text5;315;278;111;251
text5;308;271;94;167
text6;805;746;345;402
text6;1088;856;293;390
text6;826;776;270;383
text6;822;669;235;417
text6;697;1393;347;757
text6;1629;1463;251;471
text6;974;876;261;446
text6;837;755;254;535
text6;807;715;251;392
text6;816;810;333;475
text6;789;838;247;381
text6;838;725;242;381
text6;722;834;261;523
text6;724;680;337;383
text6;756;752;292;489
text6;714;679;244;446
text6;859;712;405;389
text6;1560;1996;646;616
text6;771;761;391;389
text6;736;719;378;371
text6;883;831;368;408
text6;780;769;346;404
text6;696;1048;456;371
text6;894;811;262;383
text6;720;689;373;394
text6;721;684;243;377
text6;789;827;242;444
text6;721;701;273;531
text6;905;1143;238;484
text6;853;1556;693;721
text7;34;33;8;31
text7;32;14;26;8
text7;32;34;23;6
text7;12;13;5;5
text7;11;12;5;5
text7;11;12;6;4
text7;11;12;5;4
text7;11;12;5;4
text7;11;12;5;4
text7;11;12;5;4
text7;11;12;5;4
text7;11;12;5;4
text7;11;12;10;4
text7;11;12;6;4
text7;11;12;5;4
text7;11;12;5;4
text7;11;12;5;4
text7;11;12;9;4
text7;25;25;5;4
text7;24;31;20;4
text7;31;26;6;4
text7;11;12;6;18
text7;25;13;6;5
text7;26;25;5;5
text7;16;12;6;4
text7;11;12;6;4
text7;11;12;5;4
text7;12;13;6;4
text7;11;12;6;4
text7;11;12;6;5
